PV cell name,Efficiency [-],Cell area [m2],Average cell mass [kg],Concentration [suns]
CESI CTJ30, 0.295, 2.650e-3, 2.349e-3, 1
AZUR QJ 4G32C,0.32,3.018e-3,1.780e-3,1
AZUR TJ 3G30C,0.30,2.651e-3,2.350e-3,1
AZUR S 32,0.169,2.361e-3,0.756e-3,1
CESI CTJ30 C8.5, 0.295, 2.650e-3, 2.349e-3,8.5
AZUR QJ 4G32C C8.5,0.32,3.018e-3,1.780e-3,8.5
AZUR TJ 3G30C C8.5,0.30,2.651e-3,2.350e-3,8.5
AZUR TJ 3C44 C250,0.351,0.100e-3,0.089e-3,250
AZUR TJ 3C44 C500,0.35,0.100e-3,0.089e-3,500
AZUR TJ 3C44 C1000,0.333,0.100e-3,0.089e-3,1000
